,precision,recall,f1-score,support
bhapa_pitha,0.75,0.9230769230769231,0.8275862068965517,13.0
bibikhana_pitha,0.9,0.75,0.8181818181818182,12.0
binni_chaler_pitha,0.9166666666666666,0.8461538461538461,0.88,13.0
chanamukhi,0.9230769230769231,0.9230769230769231,0.9230769230769231,13.0
chitoi,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0
chushi_pitha,0.6923076923076923,0.9,0.782608695652174,10.0
dim_sundori_pitha_pantowa,1.0,1.0,1.0,12.0
dudh_chitoi,0.6875,0.8461538461538461,0.7586206896551724,13.0
gulgula,1.0,0.5833333333333334,0.7368421052631579,12.0
jhal_jamai_pitha_chapri,1.0,0.8333333333333334,0.9090909090909091,12.0
jhinuk_pitha,0.9230769230769231,0.9230769230769231,0.9230769230769231,13.0
khejuri_pitha,0.7142857142857143,0.5,0.5882352941176471,10.0
khola_jali_pitha,0.9166666666666666,1.0,0.9565217391304348,11.0
malpoya,0.6470588235294118,0.8461538461538461,0.7333333333333333,13.0
mera_pitha,0.75,0.9,0.8181818181818182,10.0
muittha_pitha,0.5555555555555556,0.625,0.5882352941176471,8.0
narkel_puli_pitha,0.9285714285714286,0.8666666666666667,0.896551724137931,15.0
nunia_pitha,0.7647058823529411,0.9285714285714286,0.8387096774193549,14.0
patishapta,1.0,1.0,1.0,8.0
rosgoja_pitha,0.9,0.6923076923076923,0.782608695652174,13.0
sorbhaja,0.8125,0.9285714285714286,0.8666666666666667,14.0
sotin_mochor,1.0,0.9166666666666666,0.9565217391304348,12.0
syringe_pitha,1.0,0.8181818181818182,0.9,11.0
taler_cone_pitha,1.0,0.8888888888888888,0.9411764705882353,9.0
accuracy,0.8480565371024735,0.8480565371024735,0.8480565371024735,283.0
macro avg,0.8621276327158679,0.844689454064454,0.8456413308650254,283.0
weighted avg,0.8640572010843265,0.8480565371024735,0.8482769257177923,283.0
