,precision,recall,f1-score,support
bhapa_pitha,0.9230769230769231,0.9230769230769231,0.9230769230769231,13.0
bibikhana_pitha,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0
binni_chaler_pitha,1.0,0.9230769230769231,0.96,13.0
chanamukhi,0.8666666666666667,1.0,0.9285714285714286,13.0
chitoi,1.0,0.9166666666666666,0.9565217391304348,12.0
chushi_pitha,0.8181818181818182,0.9,0.8571428571428571,10.0
dim_sundori_pitha_pantowa,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
dudh_chitoi,0.7333333333333333,0.8461538461538461,0.7857142857142857,13.0
gulgula,0.8888888888888888,0.6666666666666666,0.7619047619047619,12.0
jhal_jamai_pitha_chapri,1.0,1.0,1.0,12.0
jhinuk_pitha,1.0,0.9230769230769231,0.96,13.0
khejuri_pitha,0.7777777777777778,0.7,0.7368421052631579,10.0
khola_jali_pitha,1.0,1.0,1.0,11.0
malpoya,0.7333333333333333,0.8461538461538461,0.7857142857142857,13.0
mera_pitha,1.0,1.0,1.0,10.0
muittha_pitha,0.6,0.75,0.6666666666666666,8.0
narkel_puli_pitha,1.0,0.8,0.8888888888888888,15.0
nunia_pitha,0.8125,0.9285714285714286,0.8666666666666667,14.0
patishapta,1.0,0.875,0.9333333333333333,8.0
rosgoja_pitha,0.8181818181818182,0.6923076923076923,0.75,13.0
sorbhaja,0.8125,0.9285714285714286,0.8666666666666667,14.0
sotin_mochor,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
syringe_pitha,1.0,0.8181818181818182,0.9,11.0
taler_cone_pitha,0.75,1.0,0.8571428571428571,9.0
accuracy,0.8798586572438163,0.8798586572438163,0.8798586572438163,283.0
macro avg,0.8865360334110335,0.8793404512154512,0.8786563340253272,283.0
weighted avg,0.8897704964842773,0.8798586572438163,0.8806361694680702,283.0
