true_label,predicted_label,count
gulgula,malpoya,3
khejuri_pitha,muittha_pitha,2
narkel_puli_pitha,muittha_pitha,2
bibikhana_pitha,sorbhaja,1
bhapa_pitha,malpoya,1
binni_chaler_pitha,taler_cone_pitha,1
chushi_pitha,dudh_chitoi,1
chitoi,bhapa_pitha,1
dudh_chitoi,chushi_pitha,1
dim_sundori_pitha_pantowa,chushi_pitha,1
dudh_chitoi,taler_cone_pitha,1
gulgula,sorbhaja,1
jhinuk_pitha,rosgoja_pitha,1
bibikhana_pitha,dudh_chitoi,1
khejuri_pitha,rosgoja_pitha,1
malpoya,gulgula,1
muittha_pitha,chanamukhi,1
malpoya,khejuri_pitha,1
muittha_pitha,taler_cone_pitha,1
narkel_puli_pitha,nunia_pitha,1
nunia_pitha,dudh_chitoi,1
patishapta,dim_sundori_pitha_pantowa,1
rosgoja_pitha,bibikhana_pitha,1
rosgoja_pitha,chanamukhi,1
rosgoja_pitha,dudh_chitoi,1
rosgoja_pitha,nunia_pitha,1
sorbhaja,khejuri_pitha,1
sotin_mochor,sorbhaja,1
syringe_pitha,nunia_pitha,1
syringe_pitha,sotin_mochor,1
