,precision,recall,f1-score,support
bhapa_pitha,1.0,1.0,1.0,13.0
bibikhana_pitha,0.7692307692307693,0.8333333333333334,0.8,12.0
binni_chaler_pitha,0.9230769230769231,0.9230769230769231,0.9230769230769231,13.0
chanamukhi,0.8,0.9230769230769231,0.8571428571428571,13.0
chitoi,1.0,1.0,1.0,12.0
chushi_pitha,0.6666666666666666,0.6,0.631578947368421,10.0
dim_sundori_pitha_pantowa,1.0,1.0,1.0,12.0
dudh_chitoi,0.6428571428571429,0.6923076923076923,0.6666666666666666,13.0
gulgula,0.9,0.75,0.8181818181818182,12.0
jhal_jamai_pitha_chapri,1.0,1.0,1.0,12.0
jhinuk_pitha,0.9230769230769231,0.9230769230769231,0.9230769230769231,13.0
khejuri_pitha,0.7,0.7,0.7,10.0
khola_jali_pitha,1.0,1.0,1.0,11.0
malpoya,0.8571428571428571,0.9230769230769231,0.8888888888888888,13.0
mera_pitha,1.0,1.0,1.0,10.0
muittha_pitha,0.6666666666666666,0.5,0.5714285714285714,8.0
narkel_puli_pitha,1.0,0.8,0.8888888888888888,15.0
nunia_pitha,0.8125,0.9285714285714286,0.8666666666666667,14.0
patishapta,0.7777777777777778,0.875,0.8235294117647058,8.0
rosgoja_pitha,0.7272727272727273,0.6153846153846154,0.6666666666666666,13.0
sorbhaja,0.9230769230769231,0.8571428571428571,0.8888888888888888,14.0
sotin_mochor,1.0,1.0,1.0,12.0
syringe_pitha,0.9166666666666666,1.0,0.9565217391304348,11.0
taler_cone_pitha,0.8181818181818182,1.0,0.9,9.0
accuracy,0.872791519434629,0.872791519434629,0.872791519434629,283.0
macro avg,0.8676747442372443,0.8685019841269841,0.8654668274098883,283.0
weighted avg,0.87403739762397,0.872791519434629,0.8708771428646791,283.0
